"codigo","color_por_confirmar","color_final","referencias"
"5SR","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL LAPIZ | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::ESCUADRA | CARTUCHERAS Y LONCHERAS::PIZARRA"
"5SU","","","MOCHILAS::MORRAL GAMMATTO | MOCHILAS::BOLSO LARINTO VENDIDO MUNECA"
"5Y","","","DAMAS::BUZO NINA SHINKU"
"6GF","","","CARTUCHERAS Y LONCHERAS::SOBRE"
"6L4","","","MOCHILAS::MORRAL CELOSIA"
"6L8","","","MOCHILAS::MORRAL ACUARELA"
"6L9","","","LONCHERAS::BORRADOR"
"6LI","","","LONCHERAS::NOTEBOOK | MOCHILAS::MORRAL PC CARTULINA | MOCHILAS::MORRAL P TABLET Y PC CARTULINA | MOCHILAS::MORRAL RAYOL"
"6LJ","","","MOCHILAS::MORRAL EMELINDA"
"6LL","","","MOCHILAS::MORRAL LAPIZ | CARTUCHERAS Y LONCHERAS::SOBRE"
"6LN","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL PC CARTULINA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL LAPIZ S E"
"6LO","","","LONCHERAS::NOTEBOOK | LONCHERAS::RESALTADOR | MOCHILAS::MORRAL LAPIZ | MOCHILAS::MORRAL P TABLET Y PC CARTULINA | MOCHILAS::MORRAL P TABLET Y PC CARTULINA S E | MOCHILA  - RUEDAS::MORRAL RUE BOMPER RENGLON"
"6LP","","","MOCHILAS::MORRAL ACUARELA | CARTUCHERAS Y LONCHERAS::SOBRE"
"6LQ","","","MOCHILA  - RUEDAS::MORRAL RUE RENGLON"
"6LS","","","LONCHERAS::PIZARRA | LONCHERAS::BORRADOR | LONCHERAS::NOTEBOOK | MOCHILAS::MORRAL ACUARELA | MOCHILA  - RUEDAS::MORRAL RUE BOMPER RENGLON"
"6LT","","","LONCHERAS::NOTEBOOK"
"6LU","","","LONCHERAS::BORRADOR | MOCHILA  - RUEDAS::MORRAL RUE BOMPER RENGLON"
"6LV","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL LAPIZ | MOCHILAS::MORRAL ACUARELA | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::PORTAMINAS | CARTUCHERAS Y LONCHERAS::PIZARRA"
"6LX","","","LONCHERAS::BORRADOR | LONCHERAS::RESALTADOR | LONCHERAS::NOTEBOOK | MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::PORTAMINAS | CARTUCHERAS Y LONCHERAS::PIZARRA | MOCHILA  - RUEDAS::MORRAL BOMPER RENGLON"
"6M0","","","CARTUCHERAS Y LONCHERAS::AGAPEC"
"6M8","","","MOCHILAS::MORRAL BORONAS"
"6MO","","","LONCHERAS::PIZARRA | CARTUCHERAS Y LONCHERAS::ESCUADRA"
"6UA","","","MOCHILAS::MORRAL CRAYOLA"
"6UC","","","MOCHILAS::MORRAL CROYOLA | MOCHILAS::MORRAL CRAYOLA"
"6V7","","","CARTUCHERAS Y LONCHERAS::KIRIBY"
"6VB","","","LONCHERAS::BORRADOR | LONCHERAS::RESALTADOR"
"6VC","","","MOCHILAS::MORRAL LAPIZ | MOCHILAS::MORRAL GOMMAS"
"76G","","","MOCHILAS::MORRAL LAPICERO"
"7BJ","","","CARTUCHERAS Y LONCHERAS::ESCUADRA"
"7E0","","","MOCHILAS::MORRAL MIRAGE T L | MOCHILAS::MORRAL MIRAGE T M | MOCHILAS::MORRAL TABLET Y PC CARTULINA | MOCHILAS::MORRAL GOMMAS | CARTUCHERAS Y LONCHERAS::AGAPEC | CARTUCHERAS Y LONCHERAS::ESCUADRA | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::PORTAMINAS"
"7E4","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL LAPIZ | MOCHILAS::MORRAL GOMMAS | MOCHILAS::MORRAL PC CARTULINA | MOCHILAS::MORRAL P TABLET Y PC CARTULINA | CARTUCHERAS Y LONCHERAS::PLASTILINA"
